vl_vocabulary,vl_definition,vl_part_of_speech,vl_theme,vl_title,vl_practice,vl_upload_date
cat,貓,(n.),0,0,0,2020/3/14 00:00:00
rat,老鼠,(n.),0,0,0,2020/3/14 00:00:00
pen,筆、鋼筆,(n.),0,0,0,2020/3/14 00:00:00
red,紅色,(n.),0,0,0,2020/3/14 00:00:00
pig,豬,(n.),0,0,1,2020/3/14 00:00:00
cop,警察,(n.),0,0,1,2020/3/14 00:00:00
bug,蟲子,(n.),0,0,1,2020/3/14 00:00:00
sun,太陽,(n.),0,0,1,2020/3/14 00:00:00
cake,蛋糕,(n.),0,0,2,2020/3/14 00:00:00
game,遊戲,(n.),0,0,2,2020/3/14 00:00:00
dive,潛水,(v.),0,0,2,2020/3/14 00:00:00
bike,自行車,(n.),0,0,2,2020/3/14 00:00:00
rose,玫瑰,(n.),0,0,3,2020/3/14 00:00:00
home,家、家園,(n.),0,0,3,2020/3/14 00:00:00
cute,可愛的,(adj.),0,0,3,2020/3/14 00:00:00
huge,巨大的,(adj.),0,0,3,2020/3/14 00:00:00
tree,樹木,(n.),0,0,4,2020/3/14 00:00:00
sheep,綿羊,(n.),0,0,4,2020/3/14 00:00:00
brown,棕色,(n.),0,0,4,2020/3/14 00:00:00
clown,小丑,(n.),0,0,4,2020/3/14 00:00:00
flower,花朵,(n.),0,0,5,2020/3/14 00:00:00
teacher,老師,(n.),0,0,5,2020/3/14 00:00:00
cook,教師,(n.),0,0,5,2020/3/14 00:00:00
zoo,動物園,(n.),0,0,5,2020/3/14 00:00:00
glass,玻璃(杯),(n.),0,0,6,2020/3/14 00:00:00
black,黑色,(n.),0,0,6,2020/3/14 00:00:00
crab,螃蟹,(n.),0,0,6,2020/3/14 00:00:00
frog,青蛙,(n.),0,0,6,2020/3/14 00:00:00
snake,蛇,(n.),0,0,7,2020/3/14 00:00:00
swim,游泳,(v.),0,0,7,2020/3/14 00:00:00
whale,鯨魚,(n.),0,0,7,2020/3/14 00:00:00
brush,刷子、筆刷,(n.),0,0,7,2020/3/14 00:00:00
